,Common Names,Rare Names
!,"exclamation mark
 bang
 pling
 excl
 not
 shriek","factorial
 exclam
 smash
 cuss
 boing
 yell
 wow
 hey
 wham
 eureka
 spark-spot
 soldier
 control","factorial
 exclam
 smash
 cuss
 boing
 yell","wow
 hey
 wham
 eureka
 spark-spot
 soldier
 control"
"factorial
 exclam
 smash
 cuss
 boing
 yell","wow
 hey
 wham
 eureka
 spark-spot
 soldier
 control"
\","quotation marks
 quote
 double quote","literal mark
 double-glitch
 dieresis
 dirk rabbit-ears
 double prime","literal mark
 double-glitch
 dieresis
 dirk","rabbit-ears
 double prime"
"literal mark
 double-glitch
 dieresis
 dirk","rabbit-ears
 double prime"
#,"hash
 pound sign
 number sign
 pound
 sharp
 crunch
 hex
 mesh","hash
 pound sign
 number sign
 pound","sharp
 crunch
 hex
 mesh","grid
 crosshatch
 octothorpe
 flash
 square
 pig-pen tictactoe
 scratchmark
 thud
 thump
 splat","grid
 crosshatch
 octothorpe
 flash
 square
 pig-pen","tictactoe
 scratchmark
 thud
 thump
 splat"
"hash
 pound sign
 number sign
 pound","sharp
 crunch
 hex
 mesh"
"grid
 crosshatch
 octothorpe
 flash
 square
 pig-pen","tictactoe
 scratchmark
 thud
 thump
 splat"
$,"dollar sign
 dollar","currency symbol
 buck
 cash
 string escape
 ding
 cache
 big money","currency symbol
 buck
 cash
 string","escape
 ding
 cache
 big money"
"currency symbol
 buck
 cash
 string","escape
 ding
 cache
 big money"
%,"percent sign
 mod
 grapes",double-oh-seven
&,"ampersand
 amp
 amper
 and
 and sign","address
 reference
 andpersand
 bitand
 background
 pretzel"
',"apostrophe
 single quote
 quote","prime
 glitch
 tick
 irk
 pop
 spark
 closing single quotation mark
 acute accent","prime
 glitch
 tick
 irk","pop
 spark
 closing single quotation mark
 acute accent"
"prime
 glitch
 tick
 irk","pop
 spark
 closing single quotation mark
 acute accent"
( ),"opening / closing parenthesis
 left / right paren
 left / right parenthesis
 left / right
 open / close
 open / close paren
 paren / thesis","so/already
 lparen/rparen
 opening/closing parenthesis
 opening/closing round bracket
 left/right round bracket
 wax/wane
 parenthisey/unparenthisey
 left/right ear"
[ ],"opening / closing bracket
 left / right bracket
 left / right square bracket
 bracket / unbracket","square / unsquare
 u turn / u turn back"
{ },"opening / closing brace
 open / close brace
 left / right brace
 left / right squiggly
 left / right squiggly bracket/brace
 left / right curly bracket/brace","brace / unbrace
 curly / uncurly
 leftit / rytit
 left / right squirrelly
 embrace / bracelet"
< >,"less / greater than
 bra / ket
 left / right angle
 left / right angle bracket
 left / right broket","from / into (or towards)
 read from / write to
 suck / blow
 comes-from / gozinta
 in / out
 crunch / zap
 tic / tac"
*,"asterisk
 star
 splat","wildcard
 gear
 dingle
 mult
 spider aster
 times
 twinkle
 glob
 Nathan Hale","wildcard
 gear
 dingle
 mult
 spider","aster
 times
 twinkle
 glob
 Nathan Hale"
"wildcard
 gear
 dingle
 mult
 spider","aster
 times
 twinkle
 glob
 Nathan Hale"
+,"plus
 add","cross
 intersection"
",",comma,"cedilla
 tail"
-,"dash
 hyphen
 minus","worm
 option
 dak
 bithorpe"
.,"period
 dot
 point
 decimal point","radix point
 full stop
 spot"
/,"slash
 stroke
 slant
 forward slash","diagonal
 solidus
 over
 slak
 virgule
 slat"
\,"backslash
 hack
 whack
 escape
 reverse slash slosh
 backslant
 backwhack","backslash
 hack
 whack
 escape
 reverse slash","slosh
 backslant
 backwhack","bash
 reverse slant
 reversed virgule
 backslat"
"backslash
 hack
 whack
 escape
 reverse slash","slosh
 backslant
 backwhack"
:,colon,"dots
 two-spot"
;,"semicolon
 semi","weenie
 hybrid
 pit-thwong"
=,"equals
 gets
 takes","quadrathorpe
 half-mesh"
?,"question mark
 query
 ques","quiz
 whatmark
 what
 wildchar huh
 hook
 buttonhook
 hunchback","quiz
 whatmark
 what
 wildchar","huh
 hook
 buttonhook
 hunchback"
"quiz
 whatmark
 what
 wildchar","huh
 hook
 buttonhook
 hunchback"
@,"at sign
 at
 strudel","each
 vortex
 whorl
 whirlpool
 cyclone snail
 ape
 cat
 rose
 cabbage
 commercial at","each
 vortex
 whorl
 whirlpool
 cyclone","snail
 ape
 cat
 rose
 cabbage
 commercial at"
"each
 vortex
 whorl
 whirlpool
 cyclone","snail
 ape
 cat
 rose
 cabbage
 commercial at"
^,"circumflex
 caret
 hat
 control
 uparrow","xor sign
 chevron
 shark (or shark-fin)
 to the
 fang
 pointer"
_,"underline
 underscore
 underbar
 under","score
 backarrow
 skid
 flatworm"
`,"grave accent
 backquote
 left quote
 left single quote
 open quote
 grave","backprime
 backspark
 unapostrophe
 birk
 blugle back tick
 back glitch
 push
 opening single quote
 quasiquote","backprime
 backspark
 unapostrophe
 birk
 blugle","back tick
 back glitch
 push
 opening single quote
 quasiquote"
"backprime
 backspark
 unapostrophe
 birk
 blugle","back tick
 back glitch
 push
 opening single quote
 quasiquote"
|,"bar
 or
 or-bar
 v-bar
 pipe
 vertical bar","vertical line
 gozinta
 thru
 pipesinta
 spike"
~,"tilde
 squiggle
 twiddle
 not","approx
 wiggle
 swung dash
 enyay
 sqiggle (sic)"
"factorial
 exclam
 smash
 cuss
 boing
 yell","wow
 hey
 wham
 eureka
 spark-spot
 soldier
 control"
"literal mark
 double-glitch
 dieresis
 dirk","rabbit-ears
 double prime"
"hash
 pound sign
 number sign
 pound","sharp
 crunch
 hex
 mesh"
"grid
 crosshatch
 octothorpe
 flash
 square
 pig-pen","tictactoe
 scratchmark
 thud
 thump
 splat"
"currency symbol
 buck
 cash
 string","escape
 ding
 cache
 big money"
"prime
 glitch
 tick
 irk","pop
 spark
 closing single quotation mark
 acute accent"
"wildcard
 gear
 dingle
 mult
 spider","aster
 times
 twinkle
 glob
 Nathan Hale"
"backslash
 hack
 whack
 escape
 reverse slash","slosh
 backslant
 backwhack"
"quiz
 whatmark
 what
 wildchar","huh
 hook
 buttonhook
 hunchback"
"each
 vortex
 whorl
 whirlpool
 cyclone","snail
 ape
 cat
 rose
 cabbage
 commercial at"
"backprime
 backspark
 unapostrophe
 birk
 blugle","back tick
 back glitch
 push
 opening single quote
 quasiquote"
